Layer,Head,Importancia_ASCA
1,1,12.0110525197815
1,2,4.78618606283359
1,3,24.5064067053419
1,4,22.5293325045123
1,5,27.0981162631454
1,6,30.637454950309
1,7,5.18999969924353
1,8,14.6058025329552
1,9,32.6324104813024
1,10,24.1190121959582
1,11,15.0666189797861
1,12,17.134184718656
2,1,9.99277429848926
2,2,57.0094267537389
2,3,14.1152655703584
2,4,19.8772537975237
2,5,30.286616075555
2,6,33.3850190512854
2,7,30.3189655695783
2,8,12.3937562050149
2,9,28.8302579115174
2,10,22.318238793632
2,11,22.7652974976714
2,12,15.2162778224995
3,1,31.0558323947463
3,2,30.4805195895781
3,3,67.5855900359455
3,4,14.0089218603136
3,5,36.5564858610122
3,6,59.8466759131862
3,7,25.8301995828654
3,8,28.0617987151921
3,9,34.1430057484618
3,10,36.2144119547166
3,11,20.6301942928753
3,12,36.0873801099814
4,1,17.1560929963868
4,2,60.0842442700574
4,3,42.4098828195644
4,4,27.188439342131
4,5,24.1125287437195
4,6,16.2195714407845
4,7,17.288141245701
4,8,22.9704887523595
4,9,27.1885794560467
4,10,41.3240651520185
4,11,37.9385223018447
4,12,21.9801617514277
5,1,42.6345189592239
5,2,19.8936812419001
5,3,25.9991683458568
5,4,18.1751691161781
5,5,49.894891645493
5,6,40.1884724683274
5,7,58.12342346906
5,8,40.3579717481187
5,9,47.9789878009366
5,10,62.2888326546968
5,11,26.2600810098292
5,12,28.4959074357199
6,1,23.4738946280228
6,2,33.5631711958934
6,3,31.3871190802308
6,4,39.6146329367189
6,5,54.6455666350345
6,6,22.8529325938266
6,7,26.5378613943482
6,8,26.9860015053371
6,9,20.7666735534032
6,10,30.1297600701533
6,11,31.3271776835471
6,12,32.8388805081343
7,1,20.4043202415544
7,2,30.8082106164055
7,3,70.7161254593465
7,4,55.267923534713
7,5,36.7519975751324
7,6,31.2967692409763
7,7,54.1101787730725
7,8,30.0777699326927
7,9,38.5515401666709
7,10,41.4564776183469
7,11,30.8417070741418
7,12,56.22049345224
8,1,143.563415096234
8,2,71.4029661093241
8,3,98.6127933332234
8,4,63.8205021633174
8,5,115.642459907992
8,6,147.446535758085
8,7,68.6805396166336
8,8,101.895996228465
8,9,49.9777457613529
8,10,78.5295200789879
8,11,76.0925930712172
8,12,109.288106092115
9,1,55.4010878864155
9,2,138.217455475231
9,3,83.9388062152538
9,4,113.820710678603
9,5,103.061486172612
9,6,214.125570762696
9,7,179.128966140436
9,8,184.600042854129
9,9,107.486336555424
9,10,54.4141003417812
9,11,75.7406656370608
9,12,107.966473933715
10,1,166.468056364914
10,2,164.421712613487
10,3,99.7953747255752
10,4,183.924174375287
10,5,114.542379337434
10,6,109.865591605704
10,7,344.378781603663
10,8,148.66183948957
10,9,173.965998395974
10,10,482.502798811148
10,11,100.031617920703
10,12,387.601321746777
11,1,214.344897469974
11,2,419.82391291381
11,3,599.946346351184
11,4,617.636532106569
11,5,241.636223779003
11,6,629.691251616872
11,7,191.726630547909
11,8,178.788754674064
11,9,526.725537049651
11,10,656.913882609496
11,11,412.834646994823
11,12,389.628597412116
12,1,1003.28283006311
12,2,1272.58655912637
12,3,491.678705478404
12,4,638.320490986783
12,5,406.743788104285
12,6,418.577948666613
12,7,838.623371414977
12,8,224.444775626258
12,9,466.561502796468
12,10,780.662455278552
12,11,277.786207792237
12,12,537.269308452751
