Variable,Layer,Head,TokenOrigenIdx,TokenDestinoIdx,TokenOrigen,TokenDestino,Efecto_ASCA,Importancia_ASCA
1,1,1,1,1,[CLS],[CLS],0.0439929823482436,0.0193538249589287
2,1,1,1,2,[CLS],Token 2,0.0064376956974899,0.0004144392589348
3,1,1,1,3,[CLS],Token 3,-0.0265392122367724,0.00704329786148448
4,1,1,1,4,[CLS],Token 4,0.00169256206320612,2.86476633780456e-05
5,1,1,1,5,[CLS],Token 5,-0.080064087990823,0.0641025818580226
6,1,1,1,6,[CLS],Token 6,0.03591553353573,0.0128992554915614
7,1,1,1,7,[CLS],.,0.043993138722053,0.019353962546178
8,1,1,1,8,[CLS],[SEP],0.0439933724187531,0.0193541681677511
9,1,1,2,1,Token 2,[CLS],0.0427883105815659,0.0183083952242454
10,1,1,2,2,Token 2,Token 2,0.0264305981181621,0.00698576516883796
11,1,1,2,3,Token 2,Token 3,0.0811627987808319,0.0658739990593781
12,1,1,2,4,Token 2,Token 4,0.0421393595348794,0.0177572562200983
13,1,1,2,5,Token 2,Token 5,0.100613015209466,0.101229788295402
14,1,1,2,6,Token 2,Token 6,-0.307628044502498,0.946350137644307
15,1,1,2,7,Token 2,.,0.0662157151542933,0.0438452093339451
16,1,1,2,8,Token 2,[SEP],0.108303616955656,0.117296734456774
17,1,1,3,1,Token 3,[CLS],0.0140731681059146,0.00198054060537333
18,1,1,3,2,Token 3,Token 2,0.0738118664039229,0.0544819162203056
19,1,1,3,3,Token 3,Token 3,-0.0974088001279947,0.0948847434237563
20,1,1,3,4,Token 3,Token 4,0.014475125548936,0.0020952925965746
21,1,1,3,5,Token 3,Token 5,0.032501548000193,0.0105635062240885
22,1,1,3,6,Token 3,Token 6,-0.0541088687952711,0.0292776968230387
23,1,1,3,7,Token 3,.,0.175513361291654,0.308049399918945
24,1,1,3,8,Token 3,[SEP],-0.0869367012306928,0.0755799002087474
25,1,1,4,1,Token 4,[CLS],0.125340149772614,0.157101531450213
26,1,1,4,2,Token 4,Token 2,0.0562567298640298,0.0316481965499442
27,1,1,4,3,Token 4,Token 3,-0.100627286254521,0.101258507389494
28,1,1,4,4,Token 4,Token 4,0.0511245340977906,0.0261371798671616
29,1,1,4,5,Token 4,Token 5,0.0528985128763594,0.0279825266453036
30,1,1,4,6,Token 4,Token 6,-0.451826351648593,2.04147052044078
31,1,1,4,7,Token 4,.,0.127495749190017,0.162551660615237
32,1,1,4,8,Token 4,[SEP],0.0414322576379265,0.0171663197297552
33,1,1,5,1,Token 5,[CLS],0.174856019555557,0.305746275748133
34,1,1,5,2,Token 5,Token 2,0.0419482936920361,0.0175965934367332
35,1,1,5,3,Token 5,Token 3,-0.231078918725912,0.533974666795367
36,1,1,5,4,Token 5,Token 4,0.0264989024775696,0.00702191832515745
37,1,1,5,5,Token 5,Token 5,-0.148933112211635,0.221810719130436
38,1,1,5,6,Token 5,Token 6,-0.0755508181073201,0.0570792611668537
39,1,1,5,7,Token 5,.,0.265959852166676,0.707346429645201
40,1,1,5,8,Token 5,[SEP],0.0148675411999906,0.00221043781333417
41,1,1,6,1,Token 6,[CLS],-0.002710761236973,7.34822648387543e-05
42,1,1,6,2,Token 6,Token 2,-0.049865525167854,0.0248657060026588
43,1,1,6,3,Token 6,Token 3,0.274303392999487,0.752423514110307
44,1,1,6,4,Token 6,Token 4,0.0732767839225689,0.0536948706203485
45,1,1,6,5,Token 6,Token 5,-0.263012873293323,0.691757715180093
46,1,1,6,6,Token 6,Token 6,-0.162503507840169,0.264073900603599
47,1,1,6,7,Token 6,.,0.306092120977549,0.936923865245342
48,1,1,6,8,Token 6,[SEP],-0.147015829145291,0.216136540192773
49,1,1,7,1,.,[CLS],0.23679221595208,0.560705535354966
50,1,1,7,2,.,Token 2,0.118574136101189,0.140598257521434
51,1,1,7,3,.,Token 3,-0.1385753968509,0.192031406123845
52,1,1,7,4,.,Token 4,0.082997666378936,0.0688861262434917
53,1,1,7,5,.,Token 5,0.0365769999557705,0.0133787692576444
54,1,1,7,6,.,Token 6,-0.208135549346817,0.433204069019013
55,1,1,7,7,.,.,0.236792108705604,0.560705027452466
56,1,1,7,8,.,[SEP],0.236792534819953,0.560707045464584
57,1,1,8,1,[SEP],[CLS],0.0153371520611948,0.00235228233348213
58,1,1,8,2,[SEP],Token 2,0.00361332477810893,0.00013056115952096
59,1,1,8,3,[SEP],Token 3,-0.0490950154480028,0.0241032054183963
60,1,1,8,4,[SEP],Token 4,0.0027779795881848,7.71717059237138e-05
61,1,1,8,5,[SEP],Token 5,0.0634302175258204,0.040233924953729
62,1,1,8,6,[SEP],Token 6,-0.0375123158700497,0.0140717384193438
63,1,1,8,7,[SEP],.,0.0153372761532568,0.00235232039801261
64,1,1,8,8,[SEP],[SEP],0.0153371469201021,0.00235228075648798
65,1,2,1,1,[CLS],[CLS],0.142934169325876,0.204301767608783
66,1,2,1,2,[CLS],Token 2,0.00496835846238888,0.000246845858107912
67,1,2,1,3,[CLS],Token 3,-0.0354358212566026,0.0125569742812989
68,1,2,1,4,[CLS],Token 4,0.00309618499569924,9.58636152759312e-05
69,1,2,1,5,[CLS],Token 5,-0.306959107344362,0.942238935816474
70,1,2,1,6,[CLS],Token 6,-0.0621453910940828,0.038620496342365
71,1,2,1,7,[CLS],.,0.142933096241009,0.204298700010415
72,1,2,1,8,[CLS],[SEP],0.142934349845171,0.204302283656617
73,1,2,2,1,Token 2,[CLS],0.00901260353157018,0.000812270224172712
74,1,2,2,2,Token 2,Token 2,0.0172076472570665,0.00296103124123626
75,1,2,2,3,Token 2,Token 3,-0.0951856042293601,0.0906029925250838
76,1,2,2,4,Token 2,Token 4,-0.00621181526659649,0.000385866489063212
77,1,2,2,5,Token 2,Token 5,0.0324669488063788,0.0105410276479602
78,1,2,2,6,Token 2,Token 6,0.0721042475632202,0.0519902251665815
79,1,2,2,7,Token 2,.,0.011394499957462,0.00129834629280601
80,1,2,2,8,Token 2,[SEP],0.0289786141069096,0.00839760075557181
81,1,2,3,1,Token 3,[CLS],0.0800023072254716,0.0640036916139874
82,1,2,3,2,Token 3,Token 2,-0.0560476640772681,0.0314134064851829
83,1,2,3,3,Token 3,Token 3,0.150114885512012,0.225344788522843
84,1,2,3,4,Token 3,Token 4,-0.00858632998205688,0.000737250625607688
85,1,2,3,5,Token 3,Token 5,-0.0483644537306171,0.02339120384661
86,1,2,3,6,Token 3,Token 6,-0.0347310201660605,0.012062437617753
87,1,2,3,7,Token 3,.,0.014454011158964,0.00208918438583457
88,1,2,3,8,Token 3,[SEP],-5.47452118857089e-05,2.99703822441116e-08
89,1,2,4,1,Token 4,[CLS],-0.00487941633544832,0.000238087037746399
90,1,2,4,2,Token 4,Token 2,-0.0220772262083619,0.00487403917055181
91,1,2,4,3,Token 4,Token 3,0.0446295042804612,0.019917926523197
92,1,2,4,4,Token 4,Token 4,-0.0358435693060019,0.0128476146059416
93,1,2,4,5,Token 4,Token 5,0.0169780035718158,0.00288252605284592
94,1,2,4,6,Token 4,Token 6,-0.0369993493317969,0.0136895185097634
95,1,2,4,7,Token 4,.,-0.0126667107511309,0.00160445561252815
96,1,2,4,8,Token 4,[SEP],-0.0185613235325144,0.00344522731278671
97,1,2,5,1,Token 5,[CLS],-0.113703622575763,0.129285137868515
98,1,2,5,2,Token 5,Token 2,0.110571013651551,0.122259490599316
99,1,2,5,3,Token 5,Token 3,0.0659765055209164,0.0435289928075151
100,1,2,5,4,Token 5,Token 4,0.0671637207668041,0.0451096538724122
101,1,2,5,5,Token 5,Token 5,0.106262312991384,0.112916791622789
102,1,2,5,6,Token 5,Token 6,-0.0218162676614814,0.00475949534677399
103,1,2,5,7,Token 5,.,-0.135186745872517,0.182754562596004
104,1,2,5,8,Token 5,[SEP],-0.107594929363322,0.115766688246983
105,1,2,6,1,Token 6,[CLS],0.0602975296654992,0.0363579208376176
106,1,2,6,2,Token 6,Token 2,-0.326408019244316,1.06542195026998
107,1,2,6,3,Token 6,Token 3,0.0246157643826258,0.00605935856140948
108,1,2,6,4,Token 6,Token 4,-0.00415576737558329,0.000172704024799624
109,1,2,6,5,Token 6,Token 5,-0.0381000646665938,0.0145161492759863
110,1,2,6,6,Token 6,Token 6,0.0608351005654025,0.0370090946080264
111,1,2,6,7,Token 6,.,-0.0784227640434048,0.0615012992020755
112,1,2,6,8,Token 6,[SEP],0.00816585082684115,0.000666811197262223
113,1,2,7,1,.,[CLS],-0.046864657272076,0.0219629610122915
114,1,2,7,2,.,Token 2,-0.0197632287390154,0.00390585210190645
115,1,2,7,3,.,Token 3,0.0700991212784064,0.0491388680400473
116,1,2,7,4,.,Token 4,-0.0181186404057,0.00328285130151063
117,1,2,7,5,.,Token 5,0.130993744246595,0.171593610317423
118,1,2,7,6,.,Token 6,0.104450917397967,0.10909994145277
119,1,2,7,7,.,.,-0.046864718223025,0.0219630181412353
120,1,2,7,8,.,[SEP],-0.0468646987896212,0.0219629999264193
121,1,2,8,1,[SEP],[CLS],0.0201771967662671,0.0040711926934466
122,1,2,8,2,[SEP],Token 2,0.0122357457933691,0.00149713475119948
123,1,2,8,3,[SEP],Token 3,0.00829156714164678,0.000687500856644364
124,1,2,8,4,[SEP],Token 4,0.00768305326788721,0.000590293075171923
125,1,2,8,5,[SEP],Token 5,-0.0589846666432279,0.0347919089901272
126,1,2,8,6,[SEP],Token 6,-0.127756375662306,0.163216915223683
127,1,2,8,7,[SEP],.,0.0201770862930362,0.00407114811276628
128,1,2,8,8,[SEP],[SEP],0.0201770921445797,0.00407115047410861
129,1,3,1,1,[CLS],[CLS],-0.070972407496332,0.050370826258254
130,1,3,1,2,[CLS],Token 2,-0.00808331624946151,0.000653400015888086
131,1,3,1,3,[CLS],Token 3,0.00436907456005085,0.000190888125112836
132,1,3,1,4,[CLS],Token 4,-0.00145128906736921,2.10623995706539e-05
133,1,3,1,5,[CLS],Token 5,-0.00400773705625654,0.000160619563120918
134,1,3,1,6,[CLS],Token 6,0.178044809623932,0.316999542340222
135,1,3,1,7,[CLS],.,-0.0709727000446548,0.0503712415162854
136,1,3,1,8,[CLS],[SEP],-0.0709741387459711,0.0503732837073235
137,1,3,2,1,Token 2,[CLS],-0.0200779389310071,0.0040312363171725
138,1,3,2,2,Token 2,Token 2,-0.00201467449429088,4.0589133179462e-05
139,1,3,2,3,Token 2,Token 3,0.0434310547552227,0.0188625651715115
140,1,3,2,4,Token 2,Token 4,-0.00155516309489985,2.41853225173847e-05
141,1,3,2,5,Token 2,Token 5,0.0353884256046387,0.0125234066677505
142,1,3,2,6,Token 2,Token 6,-0.0153274778077581,0.00234931575947316
143,1,3,2,7,Token 2,.,-0.00271208347223621,7.35539676037681e-05
144,1,3,2,8,Token 2,[SEP],-0.00257407527622204,6.62586352765756e-05
145,1,3,3,1,Token 3,[CLS],-0.144530557250454,0.208890819791268
146,1,3,3,2,Token 3,Token 2,0.145320067349366,0.211179219744243
147,1,3,3,3,Token 3,Token 3,0.00324119343428771,0.000105053348784698
148,1,3,3,4,Token 3,Token 4,0.0462964987731946,0.0214336579865641
149,1,3,3,5,Token 3,Token 5,0.0975718670326517,0.0952026923623746
150,1,3,3,6,Token 3,Token 6,-0.564015209354492,3.18113156383192
151,1,3,3,7,Token 3,.,0.191334867690958,0.366090315943163
152,1,3,3,8,Token 3,[SEP],0.228761568870026,0.523318553918756
153,1,3,4,1,Token 4,[CLS],-0.0397603821197818,0.0158088798631106
154,1,3,4,2,Token 4,Token 2,-0.044943279634401,0.0201989838429596
155,1,3,4,3,Token 4,Token 3,0.0806706883227248,0.0650775995446221
156,1,3,4,4,Token 4,Token 4,-0.0246294558310109,0.00606610094531719
157,1,3,4,5,Token 4,Token 5,0.0535612861607273,0.0286881137519131
158,1,3,4,6,Token 4,Token 6,-0.133871422330333,0.179215577167464
159,1,3,4,7,Token 4,.,-0.0543314788410348,0.0295190959305381
160,1,3,4,8,Token 4,[SEP],-0.0584343595876469,0.0341457438041842
161,1,3,5,1,Token 5,[CLS],-0.0990678304686931,0.0981443503377371
162,1,3,5,2,Token 5,Token 2,0.0487821987773225,0.023797029175502
163,1,3,5,3,Token 5,Token 3,-0.386748054900598,1.49574057969396
164,1,3,5,4,Token 5,Token 4,0.24267335118475,0.588903553752373
165,1,3,5,5,Token 5,Token 5,0.110421971954057,0.121930118902226
166,1,3,5,6,Token 5,Token 6,-0.425849741435131,1.81348002280368
167,1,3,5,7,Token 5,.,-0.1020532267267,0.104148610853312
168,1,3,5,8,Token 5,[SEP],-0.223031832146595,0.49743198150667
169,1,3,6,1,Token 6,[CLS],-0.683229231534213,4.66802182822832
170,1,3,6,2,Token 6,Token 2,0.0490233641250555,0.0240329023013778
171,1,3,6,3,Token 6,Token 3,0.313764808587181,0.984483551077502
172,1,3,6,4,Token 6,Token 4,0.395330237197063,1.56285996442286
173,1,3,6,5,Token 6,Token 5,0.581974885266167,3.38694767080568
174,1,3,6,6,Token 6,Token 6,-0.190985587328191,0.364754945670941
175,1,3,6,7,Token 6,.,-0.261130889312579,0.681893413531785
176,1,3,6,8,Token 6,[SEP],-0.262705423938004,0.690141397664466
177,1,3,7,1,.,[CLS],0.100322081065883,0.100645199493895
178,1,3,7,2,.,Token 2,0.102514011432548,0.105091225399925
179,1,3,7,3,.,Token 3,0.177523130673692,0.315144619241888
180,1,3,7,4,.,Token 4,0.0160231023040201,0.00256739807445094
181,1,3,7,5,.,Token 5,0.164525269916056,0.27068564440951
182,1,3,7,6,.,Token 6,-0.129300384825492,0.167185895160203
183,1,3,7,7,.,.,0.100322011703764,0.100645060322902
184,1,3,7,8,.,[SEP],0.100322038850253,0.100645114790717
185,1,3,8,1,[SEP],[CLS],-0.0564996820956872,0.0319221407691372
186,1,3,8,2,[SEP],Token 2,0.00098544869127234,9.71109123130367e-06
187,1,3,8,3,[SEP],Token 3,0.0164321814825987,0.00270016588277062
188,1,3,8,4,[SEP],Token 4,0.000224631798783185,5.04594450245694e-07
189,1,3,8,5,[SEP],Token 5,0.253042968731011,0.640307440242034
190,1,3,8,6,[SEP],Token 6,0.0226193186296206,0.00511633575268301
191,1,3,8,7,[SEP],.,-0.0564990613745093,0.0319214393620057
192,1,3,8,8,[SEP],[SEP],-0.056500392342256,0.0319229433482886
193,1,4,1,1,[CLS],[CLS],0.424438287316641,1.80147859740283
194,1,4,1,2,[CLS],Token 2,0.0399127321662422,0.0159302618897419
195,1,4,1,3,[CLS],Token 3,-0.275507879541477,0.759045916894411
196,1,4,1,4,[CLS],Token 4,0.0183921474051084,0.00338271086171236
197,1,4,1,5,[CLS],Token 5,-0.30067373912045,0.904046973966722
198,1,4,1,6,[CLS],Token 6,-0.284209770103943,0.807751934225358
199,1,4,1,7,[CLS],.,0.424438313193942,1.80147881706919
200,1,4,1,8,[CLS],[SEP],0.424437997597846,1.80147613804869
201,1,4,2,1,Token 2,[CLS],0.0114607652082409,0.00131349139158425
202,1,4,2,2,Token 2,Token 2,-0.00469563039803296,0.000220489448349312
203,1,4,2,3,Token 2,Token 3,-0.148886227271118,0.221671086710269
204,1,4,2,4,Token 2,Token 4,-0.0056310537504978,0.000317087663409954
205,1,4,2,5,Token 2,Token 5,0.0133754141856564,0.00178901704637858
206,1,4,2,6,Token 2,Token 6,0.183224665619151,0.335712780912497
207,1,4,2,7,Token 2,.,-0.00585281624022069,0.00034255457941791
208,1,4,2,8,Token 2,[SEP],0.011330209235304,0.00128373641315768
209,1,4,3,1,Token 3,[CLS],-0.145272790304158,0.211041836027559
210,1,4,3,2,Token 3,Token 2,0.1650666974567,0.272470146092618
211,1,4,3,3,Token 3,Token 3,-0.0571240820644565,0.0326316075170676
212,1,4,3,4,Token 3,Token 4,0.0269847448273466,0.00728176453397011
213,1,4,3,5,Token 3,Token 5,0.00782268156885996,0.000611943469277813
214,1,4,3,6,Token 3,Token 6,0.0234402925547685,0.00549447315053138
215,1,4,3,7,Token 3,.,0.0957578639640204,0.0916956851095185
216,1,4,3,8,Token 3,[SEP],0.0962943608930389,0.0927260393979883
217,1,4,4,1,Token 4,[CLS],-0.0119594529835232,0.00143028515665103
218,1,4,4,2,Token 4,Token 2,-0.0349859497731498,0.0122401668152936
219,1,4,4,3,Token 4,Token 3,0.0206411983382303,0.0042605906883816
220,1,4,4,4,Token 4,Token 4,-0.0513742685649416,0.0263931547058275
221,1,4,4,5,Token 4,Token 5,0.212970832015707,0.453565752894623
222,1,4,4,6,Token 4,Token 6,0.218194584661724,0.476088767757021
223,1,4,4,7,Token 4,.,-0.0429367121781172,0.0184356125266648
224,1,4,4,8,Token 4,[SEP],-0.0362214667330741,0.0131199465229519
225,1,4,5,1,Token 5,[CLS],-0.12751085473635,0.162590180755945
226,1,4,5,2,Token 5,Token 2,0.116255355063065,0.135153075808394
227,1,4,5,3,Token 5,Token 3,0.0550209198953151,0.0302730162612669
228,1,4,5,4,Token 5,Token 4,0.026680510217075,0.00711849625443445
229,1,4,5,5,Token 5,Token 5,0.180563007847369,0.326029998028891
230,1,4,5,6,Token 5,Token 6,-0.101810064488964,0.10365289231247
231,1,4,5,7,Token 5,.,-0.197098548572009,0.388478378491927
232,1,4,5,8,Token 5,[SEP],-0.42623787371047,1.81678724985223
233,1,4,6,1,Token 6,[CLS],-0.621651773471706,3.86450927460517
234,1,4,6,2,Token 6,Token 2,0.175401846295664,0.307658076839275
235,1,4,6,3,Token 6,Token 3,0.277073752088287,0.767698640962813
236,1,4,6,4,Token 6,Token 4,0.216205732812745,0.467449189010959
237,1,4,6,5,Token 6,Token 5,0.427315377337823,1.82598431709366
238,1,4,6,6,Token 6,Token 6,0.267814516252966,0.717246151158103
239,1,4,6,7,Token 6,.,-0.0586691505110466,0.0344206922168784
240,1,4,6,8,Token 6,[SEP],-0.165239151938939,0.273039773334996
241,1,4,7,1,.,[CLS],0.0704142614436087,0.0495816821464887
242,1,4,7,2,.,Token 2,0.0982857041020757,0.0966007963084077
243,1,4,7,3,.,Token 3,-0.0561862475447178,0.0315689441315631
244,1,4,7,4,.,Token 4,0.05884215584322,0.0346239930427779
245,1,4,7,5,.,Token 5,-0.203368978585925,0.413589414510826
246,1,4,7,6,.,Token 6,0.172291008585645,0.296841916394588
247,1,4,7,7,.,.,0.0704143127602545,0.0495817544149895
248,1,4,7,8,.,[SEP],0.0704142781744286,0.0495817057082581
249,1,4,8,1,[SEP],[CLS],-0.0076224465856247,0.000581016919507017
250,1,4,8,2,[SEP],Token 2,0.0223713288433419,0.0050047635421694
