Token,oMEDA,PLS_DA,ASCA,SHAP
disliked,5.16913321032621,5.33774559364374,5.3310555577303,8.15629372268068
hated,5.16913321032621,5.33774559364374,5.3310555577303,7.47572795309853
sharp,6.65923788653268,6.68960332002816,6.1835782622028,7.47495476489423
poorly,7.02296036352359,6.96721104383362,7.23668078877962,7.19471094750483
dreadful,6.65923788653268,6.68960332002816,6.1835782622028,7.1665108227204
painful,7.02296036352359,6.96721104383362,7.23668078877962,7.05187115565317
boring,7.02296036352359,6.96721104383362,7.23668078877962,6.98350866306582
empty,7.02296036352359,6.96721104383362,7.23668078877962,6.7041468572639
smart,6.65923788653268,6.68960332002816,6.1835782622028,6.57514378417495
poor,6.65923788653268,6.68960332002816,6.1835782622028,6.44113072297551
warm,6.84109912502813,6.82840718193089,6.71012952549121,5.91211940149431
cheap,7.02296036352359,6.96721104383362,7.23668078877962,5.84548134757705
bad,7.02296036352359,6.96721104383362,7.23668078877962,5.71650623472856
wooden,7.02296036352359,6.96721104383362,7.23668078877962,5.69112368409649
unpleasant,7.02296036352359,6.96721104383362,7.23668078877962,5.61076993807156
