Method,Token,MeanImportancePct,MaxImportancePct,Count
oMEDA-PCA,a,10.2004240949326,10.4520887258027,2
oMEDA-PCA,acting,12.0329876296569,12.7061986099285,2
oMEDA-PCA,annoying,15.2524584382055,15.2524584382055,1
oMEDA-PCA,awful,14.352677573696,14.352677573696,1
oMEDA-PCA,bad,17.7479058730095,17.7479058730095,1
oMEDA-PCA,beautiful,11.7667955316083,11.7667955316083,1
oMEDA-PCA,boring,10.9817136024909,10.9817136024909,1
oMEDA-PCA,cast,12.8417159123157,13.3928860482176,2
oMEDA-PCA,charming,10.0860143547052,10.0860143547052,1
oMEDA-PCA,cheap,11.8690528254972,11.8690528254972,1
oMEDA-PCA,completely,11.0874691809613,11.4662324812049,2
oMEDA-PCA,deeply,11.6058418120263,11.7762756951903,2
oMEDA-PCA,dialogue,10.6576415022285,10.745252580617,2
oMEDA-PCA,disliked,13.9550099225095,13.9550099225095,1
oMEDA-PCA,dreadful,13.3809770477261,13.3809770477261,1
oMEDA-PCA,dull,14.1889065680858,14.1889065680858,1
oMEDA-PCA,dumb,19.5375955613325,19.5375955613325,1
oMEDA-PCA,empty,11.3018538128837,11.3018538128837,1
oMEDA-PCA,ending,11.2139624361515,11.4984647431274,2
oMEDA-PCA,enjoyable,9.35381868897665,9.35381868897665,1
oMEDA-PCA,enjoyed,13.0276714990763,13.0276714990763,1
oMEDA-PCA,felt,13.1542035001613,16.3024724456687,10
oMEDA-PCA,film,10.8186190946524,14.6386272908002,6
oMEDA-PCA,final,10.5242357248387,10.6271296314446,2
oMEDA-PCA,flat,13.1241313681227,13.1241313681227,1
oMEDA-PCA,found,14.0988302577816,14.9530833274468,4
oMEDA-PCA,fresh,14.8879410719253,14.8879410719253,1
oMEDA-PCA,gave,12.2358171268639,12.6151519284004,2
oMEDA-PCA,good,17.0345579458684,17.0345579458684,1
oMEDA-PCA,hated,16.3757344337435,17.0922511828794,2
oMEDA-PCA,i,12.3548512251112,13.8674064692224,10
oMEDA-PCA,it,14.5863557538978,15.3474000902291,2
oMEDA-PCA,liked,16.7019198764696,16.7019198764696,1
oMEDA-PCA,looked,15.2333272153011,15.3587094281045,2
oMEDA-PCA,loved,14.9124709903917,14.9124709903917,1
oMEDA-PCA,lovely,12.536638502598,12.536638502598,1
oMEDA-PCA,movie,10.7074688860918,14.3895122941769,10
oMEDA-PCA,moving,11.4696410558357,11.4696410558357,1
oMEDA-PCA,natural,15.4902407109599,15.4902407109599,1
oMEDA-PCA,nice,11.4131431162932,11.4131431162932,1
oMEDA-PCA,overall,11.5414935889722,12.0782634928927,2
oMEDA-PCA,pacing,11.432538047271,11.5623756555031,2
oMEDA-PCA,painful,10.0343259482266,10.0343259482266,1
oMEDA-PCA,performances,12.1197059312955,12.3615374529123,2
oMEDA-PCA,pleasant,11.5270024659827,11.5270024659827,1
oMEDA-PCA,plot,11.5857554367726,11.9547386483198,2
oMEDA-PCA,poor,13.2619700370391,13.2619700370391,1
oMEDA-PCA,poorly,11.2965980891491,11.2965980891491,1
oMEDA-PCA,quite,10.3206125915381,11.3048468980036,4
oMEDA-PCA,really,12.7172288036564,12.7700306708652,2
oMEDA-PCA,satisfying,11.6863782102635,11.6863782102635,1
oMEDA-PCA,scene,10.787521948617,11.132264594628,2
oMEDA-PCA,script,9.9338585460915,10.1194665092897,2
oMEDA-PCA,sharp,15.1922248004122,15.1922248004122,1
oMEDA-PCA,smart,16.2872389400029,16.2872389400029,1
oMEDA-PCA,soundtrack,14.411665998746,14.7630409469837,2
oMEDA-PCA,stale,17.06483318133,17.06483318133,1
oMEDA-PCA,story,12.7797026757072,14.5246162150002,4
oMEDA-PCA,strong,11.0019793248883,11.0019793248883,1
oMEDA-PCA,the,11.4186247648395,13.3691449103225,24
oMEDA-PCA,this,14.4551399531637,17.0184227948925,14
oMEDA-PCA,throughout,13.562066313884,13.9814536435665,4
oMEDA-PCA,today,14.1661375787791,15.2409594293999,4
oMEDA-PCA,truly,11.9061157575795,12.3069715366352,2
oMEDA-PCA,unpleasant,13.5275955715447,13.5275955715447,1
oMEDA-PCA,very,9.99122169471323,11.001789704347,10
oMEDA-PCA,warm,16.513660986642,17.9033563968247,2
oMEDA-PCA,was,11.9196338146575,16.3160674299943,14
oMEDA-PCA,weak,11.7240094739244,11.7240094739244,1
oMEDA-PCA,well,13.5661463331291,13.5661463331291,1
oMEDA-PCA,wooden,11.6585092274788,11.6585092274788,1
oMEDA-PCA,worked,17.167055663902,17.9629889415556,2
