Method,Token,MeanImportancePct,MaxImportancePct,Count
oMEDA-PCA,a,10.1990625800399,10.4491884683168,2
oMEDA-PCA,acting,12.0048276439079,12.6542229055454,2
oMEDA-PCA,annoying,15.3479895993418,15.3479895993418,1
oMEDA-PCA,awful,14.6866371899235,14.6866371899235,1
oMEDA-PCA,bad,18.0354271739169,18.0354271739169,1
oMEDA-PCA,beautiful,12.0455122552393,12.0455122552393,1
oMEDA-PCA,boring,11.0678986348466,11.0678986348466,1
oMEDA-PCA,cast,12.7206261672389,13.2769822983208,2
oMEDA-PCA,charming,10.1643148499126,10.1643148499126,1
oMEDA-PCA,cheap,12.1954942171884,12.1954942171884,1
oMEDA-PCA,completely,11.1670497963653,11.5177936745008,2
oMEDA-PCA,deeply,11.6952720208723,11.8489815701874,2
oMEDA-PCA,dialogue,10.6029135497108,10.6981473253303,2
oMEDA-PCA,disliked,13.9898257645827,13.9898257645827,1
oMEDA-PCA,dreadful,13.3806328891443,13.3806328891443,1
oMEDA-PCA,dull,14.3356978554816,14.3356978554816,1
oMEDA-PCA,dumb,19.5414729353945,19.5414729353945,1
oMEDA-PCA,empty,11.6325220683887,11.6325220683887,1
oMEDA-PCA,ending,11.1720560072769,11.4354686583134,2
oMEDA-PCA,enjoyable,9.49650997487222,9.49650997487222,1
oMEDA-PCA,enjoyed,13.0789236629926,13.0789236629926,1
oMEDA-PCA,felt,13.1152748658778,16.2011522381169,10
oMEDA-PCA,film,10.7886549261342,14.6462301388735,6
oMEDA-PCA,final,10.5606521427942,10.6541410965938,2
oMEDA-PCA,flat,13.5021392156705,13.5021392156705,1
oMEDA-PCA,found,14.0720988352149,14.9196830762066,4
oMEDA-PCA,fresh,15.0785766675222,15.0785766675222,1
oMEDA-PCA,gave,12.227218709128,12.6166227818,2
oMEDA-PCA,good,17.3960399670107,17.3960399670107,1
oMEDA-PCA,hated,16.3875457934954,17.0757476314098,2
oMEDA-PCA,i,12.3266528949021,13.8091117889998,10
oMEDA-PCA,it,14.530792967437,15.2899034039294,2
oMEDA-PCA,liked,16.6904031057599,16.6904031057599,1
oMEDA-PCA,looked,15.1263354770954,15.2804064206751,2
oMEDA-PCA,loved,15.0427853370578,15.0427853370578,1
oMEDA-PCA,lovely,12.5398087732888,12.5398087732888,1
oMEDA-PCA,movie,10.6905155898331,14.3613724032664,10
oMEDA-PCA,moving,11.7459270566554,11.7459270566554,1
oMEDA-PCA,natural,15.7188622906696,15.7188622906696,1
oMEDA-PCA,nice,11.6806609075724,11.6806609075724,1
oMEDA-PCA,overall,11.5900015492341,12.1261482864437,2
oMEDA-PCA,pacing,11.3392589475422,11.4754995622046,2
oMEDA-PCA,painful,10.1431119048263,10.1431119048263,1
oMEDA-PCA,performances,12.1737203797469,12.4379860523619,2
oMEDA-PCA,pleasant,11.9189379081218,11.9189379081218,1
oMEDA-PCA,plot,11.5810723358786,11.9559264350567,2
oMEDA-PCA,poor,13.4765585864981,13.4765585864981,1
oMEDA-PCA,poorly,11.6906951379238,11.6906951379238,1
oMEDA-PCA,quite,10.3699361453988,11.2979347487474,4
oMEDA-PCA,really,12.7303593736127,12.7436436782274,2
