Token,Importancia_oMEDA
annoying,1.52549739433991
awful,1.52549739433991
bad,1.52549739433991
beautiful,1.52549739433991
boring,1.52549739433991
charming,1.52549739433991
cheap,1.52549739433991
completely,1.52549739433991
dull,1.52549739433991
empty,1.52549739433991
enjoyable,1.52549739433991
good,1.52549739433991
moving,1.52549739433991
natural,1.52549739433991
nice,1.52549739433991
overall,1.52549739433991
painful,1.52549739433991
performances,1.52549739433991
pleasant,1.52549739433991
poorly,1.52549739433991
satisfying,1.52549739433991
scene,1.52549739433991
throughout,1.52549739433991
today,1.52549739433991
unpleasant,1.52549739433991
well,1.52549739433991
wooden,1.52549739433991
warm,1.48599427441669
deeply,1.44649115449348
dreadful,1.44649115449348
dumb,1.44649115449348
final,1.44649115449348
flat,1.44649115449348
fresh,1.44649115449348
lovely,1.44649115449348
poor,1.44649115449348
quite,1.44649115449348
really,1.44649115449348
sharp,1.44649115449348
smart,1.44649115449348
stale,1.44649115449348
strong,1.44649115449348
truly,1.44649115449348
very,1.44649115449348
weak,1.44649115449348
a,1.35699484638716
gave,1.35699484638716
it,1.35699484638716
looked,1.35699484638716
worked,1.35699484638716
felt,1.35699484638716
was,1.32354086745428
story,1.28465407417525
this,1.27171737687905
movie,1.26808790608089
the,1.25750446529436
i,1.2376063890758
film,1.23070838073584
acting,1.12281699385701
cast,1.12281699385701
dialogue,1.12281699385701
disliked,1.12281699385701
ending,1.12281699385701
enjoyed,1.12281699385701
found,1.12281699385701
hated,1.12281699385701
liked,1.12281699385701
loved,1.12281699385701
pacing,1.12281699385701
plot,1.12281699385701
script,1.12281699385701
soundtrack,1.12281699385701
