Variable,oMEDA,Abs_oMEDA
8384,232.5572,232.5572
8383,228.7573,228.7573
7809,-222.8641,222.8641
8705,217.6266,217.6266
8193,-214.0518,214.0518
8001,-214.0215,214.0215
8433,-212.8276,212.8276
8881,208.226,208.226
8513,206.0405,206.0405
8889,206.0241,206.0241
9025,-204.7231,204.7231
8519,-203.3471,203.3471
8200,202.701,202.701
8441,-202.6223,202.6223
8376,202.6201,202.6201
8665,-201.2105,201.2105
8520,-200.4637,200.4637
9040,-196.0703,196.0703
7815,194.783,194.783
7752,193.8197,193.8197
7879,-193.7433,193.7433
7929,193.726,193.726
9039,-192.7471,192.7471
9156,-189.4639,189.4639
7817,-188.6598,188.6598
7816,188.6073,188.6073
8530,186.9476,186.9476
8007,186.0436,186.0436
8524,185.2363,185.2363
9048,-184.4093,184.4093
9160,183.7154,183.7154
8769,182.5044,182.5044
8263,181.3036,181.3036
8442,-178.5282,178.5282
8700,-178.33,178.33
8884,177.8434,177.8434
8892,177.8011,177.8011
8540,175.5224,175.5224
8625,174.9459,174.9459
9159,174.9429,174.9429
8516,174.552,174.552
8692,-174,174
9047,-173.8761,173.8761
8199,173.8103,173.8103
7873,173.2292,173.2292
8649,-171.7282,171.7282
9056,-171.3604,171.3604
9064,-171.1744,171.1744
7751,167.6322,167.6322
8633,167.4024,167.4024
