Variable,oMEDA,Abs_oMEDA
5383,-83.53902,83.53902
5568,-74.60741,74.60741
5687,75.61193,75.61193
5688,-107.9973,107.9973
5704,97.87971,97.87971
5752,101.9104,101.9104
6257,-82.56378,82.56378
6264,111.4812,111.4812
6393,-87.78915,87.78915
6399,-103.9376,103.9376
6401,-78.78706,78.78706
6407,-85.54711,85.54711
6472,-138.6232,138.6232
6513,-83.85399,83.85399
6520,-145.0347,145.0347
6589,73.92952,73.92952
6600,113.8417,113.8417
6641,-85.88898,85.88898
6655,-129.1802,129.1802
6720,79.16072,79.16072
6785,-110.2204,110.2204
6849,-82.73832,82.73832
6855,-109.581,109.581
6897,-89.89368,89.89368
6903,-98.48891,98.48891
6913,143.5358,143.5358
6919,88.78463,88.78463
6961,94.56678,94.56678
6977,91.79807,91.79807
6984,-75.17281,75.17281
7025,108.7315,108.7315
7031,82.24554,82.24554
7032,-91.18301,91.18301
7089,85.70778,85.70778
7093,77.61486,77.61486
7105,-89.82922,89.82922
7176,139.6903,139.6903
7232,84.84024,84.84024
7240,145.8492,145.8492
7297,114.7196,114.7196
7304,-111.1938,111.1938
7312,-77.39428,77.39428
7323,75.18962,75.18962
7324,116.5459,116.5459
7328,-126.148,126.148
7345,110.6682,110.6682
7352,-113.5445,113.5445
7362,137.212,137.212
7409,95.77965,95.77965
7480,108.3123,108.3123
7489,84.45805,84.45805
7490,84.66573,84.66573
7496,-107.6739,107.6739
7497,99.57861,99.57861
7504,-81.79797,81.79797
7512,-107.6658,107.6658
7513,101.5922,101.5922
7520,-161.0784,161.0784
7521,95.31227,95.31227
7528,-91.42538,91.42538
7536,-92.90592,92.90592
7537,79.64435,79.64435
7541,76.38597,76.38597
7544,-92.79489,92.79489
7545,143.5432,143.5432
7546,96.08199,96.08199
7548,78.41119,78.41119
7552,-141.1828,141.1828
7617,153.0574,153.0574
7619,82.44634,82.44634
7620,121.1964,121.1964
7623,-105.6118,105.6118
7624,-158.1531,158.1531
7625,84.18264,84.18264
7633,138.0064,138.0064
7641,131.8369,131.8369
7648,-75.46667,75.46667
7649,104.3218,104.3218
7657,158.5966,158.5966
7665,102.9269,102.9269
7671,-100.0261,100.0261
7679,112.6987,112.6987
7697,-96.12494,96.12494
7705,-81.76469,81.76469
7721,-90.44077,90.44077
7735,-132.894,132.894
7745,146.438,146.438
7751,167.6322,167.6322
7752,193.8197,193.8197
7760,120.6699,120.6699
7775,99.26585,99.26585
7776,146.4784,146.4784
7792,89.16789,89.16789
7793,-106.4446,106.4446
7801,-140.057,140.057
7804,-80.23254,80.23254
7806,-76.36282,76.36282
7809,-222.8641,222.8641
7815,194.783,194.783
7816,188.6073,188.6073
7817,-188.6598,188.6598
7823,140.2241,140.2241
7824,156.6939,156.6939
7825,-104.8982,104.8982
7831,121.2304,121.2304
7832,131.8252,131.8252
7833,-153.3441,153.3441
7839,116.3268,116.3268
7840,160.8858,160.8858
7841,-145.3336,145.3336
7847,120.1299,120.1299
7848,152.6693,152.6693
7849,-158.8034,158.8034
7855,101.8014,101.8014
7856,137.2978,137.2978
7857,-132.9279,132.9279
7865,-130.6786,130.6786
7873,173.2292,173.2292
7875,104.9474,104.9474
7876,140.4358,140.4358
7879,-193.7433,193.7433
7880,77.18673,77.18673
7887,-85.56851,85.56851
7897,89.70414,89.70414
7903,-99.46243,99.46243
7904,86.92137,86.92137
7921,80.87971,80.87971
7927,-115.975,115.975
7928,-142.82,142.82
7929,193.726,193.726
7932,155.1142,155.1142
7933,129.4161,129.4161
7934,92.69605,92.69605
7935,-156.0227,156.0227
7936,-159.4491,159.4491
7937,-134.3941,134.3941
7943,-136.8398,136.8398
7944,-125.8714,125.8714
7975,-85.99101,85.99101
7991,-75.21143,75.21143
7992,79.4234,79.4234
7999,-83.87074,83.87074
8000,84.44536,84.44536
8001,-214.0215,214.0215
8005,-110.4973,110.4973
8007,186.0436,186.0436
8008,153.3547,153.3547
8009,-130.965,130.965
8013,-92.41089,92.41089
8014,-74.26198,74.26198
8015,78.28292,78.28292
8017,-82.40941,82.40941
8025,-141.2378,141.2378
8029,-95.51111,95.51111
8031,96.41163,96.41163
8033,-75.97476,75.97476
8037,-89.04443,89.04443
8041,-85.59348,85.59348
8045,-78.68865,78.68865
8049,-121.3285,121.3285
8052,-111.4439,111.4439
8053,-102.4621,102.4621
8054,-107.5755,107.5755
8057,-148.4353,148.4353
8059,-92.67033,92.67033
8060,-116.3944,116.3944
8061,-136.7536,136.7536
8062,-114.5524,114.5524
8065,126.4855,126.4855
8066,-83.6385,83.6385
8113,84.70929,84.70929
8129,78.20026,78.20026
8135,-86.85778,86.85778
8193,-214.0518,214.0518
8194,-126.8551,126.8551
8196,-88.6871,88.6871
8198,-105.5296,105.5296
8199,173.8103,173.8103
8200,202.701,202.701
8201,-123.7267,123.7267
8208,130.7734,130.7734
8217,-130.9066,130.9066
8224,125.7461,125.7461
8225,-74.26006,74.26006
8232,88.14536,88.14536
8233,-100.198,100.198
8240,76.0155,76.0155
8249,-118.5413,118.5413
8250,-79.56124,79.56124
8251,-100.6034,100.6034
8254,-75.52585,75.52585
8256,129.9177,129.9177
8257,-156.1567,156.1567
8258,-77.06766,77.06766
8260,-144.0524,144.0524
8261,-94.6172,94.6172
8262,-111.7576,111.7576
8263,181.3036,181.3036
8264,94.9913,94.9913
8265,-129.5484,129.5484
8268,-84.40463,84.40463
8270,-97.6751,97.6751
8281,-109.6221,109.6221
8287,80.76762,80.76762
8289,-97.81797,97.81797
8297,-97.44603,97.44603
8302,-98.14465,98.14465
8303,76.82991,76.82991
8305,-131.5223,131.5223
8306,-91.11996,91.11996
8308,-90.31435,90.31435
8309,-108.8519,108.8519
8310,-91.93058,91.93058
8313,-149.088,149.088
8314,-124.3213,124.3213
8316,-120.6442,120.6442
8317,-137.5156,137.5156
8318,-94.72553,94.72553
8321,98.67297,98.67297
8327,92.29117,92.29117
8328,83.74066,83.74066
8369,-150.1308,150.1308
8370,-96.52643,96.52643
8372,-74.89867,74.89867
8375,163.97,163.97
8376,202.6201,202.6201
8377,-144.1531,144.1531
8378,-80.80748,80.80748
8380,-121.0767,121.0767
8383,228.7573,228.7573
8384,232.5572,232.5572
8433,-212.8276,212.8276
8434,-138.6134,138.6134
8435,-90.17454,90.17454
8436,-144.4273,144.4273
8437,-111.4683,111.4683
8438,-115.2504,115.2504
8441,-202.6223,202.6223
8442,-178.5282,178.5282
8444,-101.3556,101.3556
8445,-104.5509,104.5509
8446,-110.3721,110.3721
8447,151.3153,151.3153
8452,111.6944,111.6944
8453,74.46177,74.46177
8454,81.13326,81.13326
8455,-138.306,138.306
8456,-144.7067,144.7067
8457,143.076,143.076
8459,88.77026,88.77026
8460,104.7895,104.7895
8461,121.3679,121.3679
8462,94.37138,94.37138
8463,-139.4692,139.4692
8464,-119.1729,119.1729
8465,92.52342,92.52342
8468,93.53089,93.53089
8469,89.59616,89.59616
8470,86.26396,86.26396
8471,-109.0124,109.0124
8472,-86.93234,86.93234
8473,133.6385,133.6385
8475,94.69412,94.69412
8476,81.43188,81.43188
8477,125.4869,125.4869
8478,77.64738,77.64738
8479,-147.4506,147.4506
8480,-136.9844,136.9844
8481,143.2286,143.2286
8482,87.1888,87.1888
8483,95.21577,95.21577
8484,101.2576,101.2576
8485,160.0658,160.0658
8486,93.56199,93.56199
8487,-153.2152,153.2152
8488,-151.9056,151.9056
8489,151.9223,151.9223
8490,75.95175,75.95175
8491,90.16439,90.16439
8492,91.36526,91.36526
8493,126.6707,126.6707
8494,120.6633,120.6633
8495,-164.7913,164.7913
8496,-154.67,154.67
8497,-101.5345,101.5345
8499,-80.30833,80.30833
8500,-126.6783,126.6783
8501,-120.4749,120.4749
8502,-106.9824,106.9824
8504,78.59902,78.59902
8505,-101.8519,101.8519
8507,-83.67918,83.67918
8508,-125.0254,125.0254
8509,-115.0098,115.0098
8510,-105.3705,105.3705
8512,75.5163,75.5163
8513,206.0405,206.0405
8514,151.5045,151.5045
8515,108.5001,108.5001
8516,174.552,174.552
8517,121.7152,121.7152
8518,132.7121,132.7121
8519,-203.3471,203.3471
8520,-200.4637,200.4637
8521,167.1013,167.1013
8522,122.3949,122.3949
8524,185.2363,185.2363
8525,107.6059,107.6059
8526,102.5563,102.5563
8527,-161.4842,161.4842
8528,-141.2571,141.2571
8529,161.3855,161.3855
8530,186.9476,186.9476
8532,153.0676,153.0676
8533,106.0828,106.0828
8534,97.74189,97.74189
8535,-159.3735,159.3735
8536,-161.3661,161.3661
8537,153.1403,153.1403
8538,156.7629,156.7629
8539,97.79391,97.79391
8540,175.5224,175.5224
8541,77.99347,77.99347
8542,116.75,116.75
8543,-162.1085,162.1085
8544,-160.0583,160.0583
8545,135.1327,135.1327
8546,133.008,133.008
8548,156.1253,156.1253
8550,109.0187,109.0187
8551,-138.0468,138.0468
8552,-131.9314,131.9314
8553,143.592,143.592
8554,143.7908,143.7908
8555,73.95626,73.95626
8556,162.8841,162.8841
8557,121.9458,121.9458
8558,91.71819,91.71819
8559,-146.5692,146.5692
8560,-143.5365,143.5365
8561,-138.9444,138.9444
8563,-142.6467,142.6467
8564,-91.71295,91.71295
8565,-166.9484,166.9484
8566,-125.7352,125.7352
8568,80.99707,80.99707
8569,-133.5209,133.5209
8571,-145.5048,145.5048
8572,-93.2702,93.2702
8573,-167.2109,167.2109
8574,-123.5008,123.5008
8576,80.01099,80.01099
8577,75.35143,75.35143
8585,79.71986,79.71986
8590,86.74246,86.74246
8591,-74.25117,74.25117
8592,-83.03717,83.03717
8593,73.983,73.983
8600,-75.49625,75.49625
8609,124.6095,124.6095
8612,82.64844,82.64844
8614,100.4683,100.4683
8615,-131.5026,131.5026
8616,-142.9508,142.9508
8617,90.48743,90.48743
8623,-105.6481,105.6481
8624,-115.7096,115.7096
8625,174.9459,174.9459
8631,-89.26476,89.26476
8633,167.4024,167.4024
8641,-123.2501,123.2501
8649,-171.7282,171.7282
8652,-95.843,95.843
8656,75.08255,75.08255
8657,-82.21735,82.21735
8665,-201.2105,201.2105
8671,102.7909,102.7909
8672,101.5942,101.5942
8673,-158.816,158.816
8681,-157.6533,157.6533
8689,-142.5038,142.5038
8690,-90.32939,90.32939
8691,-97.86505,97.86505
8692,-174,174
8693,-111.1221,111.1221
8694,-127.5781,127.5781
8696,109.1572,109.1572
8697,-140.3204,140.3204
8698,-105.1033,105.1033
8699,-107.5816,107.5816
8700,-178.33,178.33
8701,-118.4596,118.4596
8702,-129.937,129.937
8704,113.2638,113.2638
8705,217.6266,217.6266
8718,-80.18099,80.18099
8729,126.6194,126.6194
8737,146.7477,146.7477
8745,121.836,121.836
8750,-73.79545,73.79545
8753,80.66167,80.66167
8769,182.5044,182.5044
8777,138.6968,138.6968
8785,130.2348,130.2348
8793,135.7805,135.7805
8799,-98.14092,98.14092
8800,-103.1212,103.1212
8801,93.64919,93.64919
8807,-95.72327,95.72327
8808,-105.1113,105.1113
8809,143.2467,143.2467
8815,-103.4022,103.4022
8816,-111.4595,111.4595
8817,130.5544,130.5544
8825,114.8256,114.8256
8833,-92.35741,92.35741
8843,111.8911,111.8911
8845,96.03375,96.03375
8847,-101.3702,101.3702
8848,-79.09814,79.09814
8852,83.34048,83.34048
8853,89.06258,89.06258
8855,-97.13131,97.13131
8856,-95.40131,95.40131
8861,91.14883,91.14883
8863,-93.6022,93.6022
8864,-83.89716,83.89716
8865,121.7664,121.7664
8866,88.37041,88.37041
8867,78.82763,78.82763
8868,124.8133,124.8133
8869,109.4079,109.4079
8871,-149.011,149.011
8872,-142.4723,142.4723
8879,-95.49605,95.49605
8880,-80.53048,80.53048
8881,208.226,208.226
8883,102.1012,102.1012
8884,177.8434,177.8434
8885,160.7113,160.7113
8886,161.4077,161.4077
8887,-159.7933,159.7933
8889,206.0241,206.0241
8891,105.4127,105.4127
8892,177.8011,177.8011
8893,160.0701,160.0701
8894,160.3188,160.3188
8895,-159.0971,159.0971
8897,144.5419,144.5419
8905,97.76923,97.76923
8907,89.80931,89.80931
8915,73.62602,73.62602
8931,77.27119,77.27119
8939,76.65424,76.65424
8967,105.0105,105.0105
8968,101.4165,101.4165
8969,-143.7681,143.7681
8973,-77.90488,77.90488
8975,117.8609,117.8609
8976,110.9708,110.9708
8985,-137.8847,137.8847
8989,-97.42204,97.42204
8991,115.5949,115.5949
8992,114.3711,114.3711
8993,-109.1751,109.1751
9001,-96.14705,96.14705
9009,-120.6675,120.6675
9013,-105.1478,105.1478
9014,-96.71552,96.71552
9017,-141.5192,141.5192
9018,-80.35049,80.35049
9019,-76.92268,76.92268
9021,-136.5372,136.5372
9022,-117.14,117.14
9025,-204.7231,204.7231
9031,-100.7051,100.7051
9032,-106.4457,106.4457
9033,-110.3223,110.3223
9035,82.98589,82.98589
9037,88.31999,88.31999
9039,-192.7471,192.7471
9040,-196.0703,196.0703
9047,-173.8761,173.8761
9048,-184.4093,184.4093
9052,91.57975,91.57975
9053,104.8759,104.8759
9055,-160.62,160.62
9056,-171.3604,171.3604
9061,106.4237,106.4237
9063,-161.4937,161.4937
9064,-171.1744,171.1744
9065,-74.91492,74.91492
9069,89.53471,89.53471
9071,-150.1214,150.1214
9072,-157.4681,157.4681
9073,135.9766,135.9766
9076,75.00081,75.00081
9079,-117.2918,117.2918
9081,136.2511,136.2511
9084,79.65749,79.65749
9087,-112.9346,112.9346
9124,75.96277,75.96277
9126,83.99317,83.99317
9128,-92.09327,92.09327
9153,-77.62753,77.62753
9154,-157.5035,157.5035
9156,-189.4639,189.4639
9157,-112.5677,112.5677
9158,-78.98348,78.98348
9159,174.9429,174.9429
9160,183.7154,183.7154
9161,-94.56911,94.56911
9162,-103.8864,103.8864
9164,-116.5617,116.5617
9165,-77.15077,77.15077
9167,106.7273,106.7273
9168,131.6111,131.6111
9177,-100.1323,100.1323
9180,-123.7439,123.7439
9184,114.7717,114.7717
