Variable,oMEDA,Abs_oMEDA
1,0.1224043,0.1224043
2,0.002621153,0.002621153
3,-0.04454575,0.04454575
4,0.0001811853,0.0001811853
5,-0.4054205,0.4054205
6,0.08158209,0.08158209
7,0.1224053,0.1224053
8,0.1224068,0.1224068
9,0.1157924,0.1157924
10,0.04418175,0.04418175
11,0.4166238,0.4166238
12,0.1123069,0.1123069
13,0.6402335,0.6402335
14,-5.985243,5.985243
15,0.2773014,0.2773014
16,0.7418495,0.7418495
17,0.01252604,0.01252604
18,0.3445739,0.3445739
19,-0.6001037,0.6001037
20,0.0132518,0.0132518
21,0.06680943,0.06680943
22,-0.1851683,0.1851683
23,1.948276,1.948276
24,-0.4780096,0.4780096
25,0.9935972,0.9935972
26,0.2001607,0.2001607
27,-0.6404151,0.6404151
28,0.1653062,0.1653062
29,0.1769767,0.1769767
30,-12.91139,12.91139
31,1.028067,1.028067
32,0.1085693,0.1085693
33,1.933709,1.933709
34,0.1112907,0.1112907
35,-3.377152,3.377152
36,0.04441047,0.04441047
37,-1.402854,1.402854
38,-0.361001,0.361001
39,4.473652,4.473652
40,0.01398002,0.01398002
41,-0.0004647421,0.0004647421
42,-0.1572646,0.1572646
43,4.758746,4.758746
44,0.3395962,0.3395962
45,-4.37506,4.37506
46,-1.67015,1.67015
47,5.925626,5.925626
48,-1.366967,1.366967
49,3.546213,3.546213
50,0.8892214,0.8892214
51,-1.214513,1.214513
52,0.435674,0.435674
53,0.08461481,0.08461481
54,-2.739824,2.739824
55,3.546209,3.546209
56,3.546222,3.546222
57,0.0148771,0.0148771
58,0.0008257486,0.0008257486
59,-0.1524419,0.1524419
60,0.0004880733,0.0004880733
61,0.2544615,0.2544615
62,-0.08899754,0.08899754
63,0.01487733,0.01487733
64,0.01487715,0.01487715
65,1.292117,1.292117
66,0.001561186,0.001561186
67,-0.07941733,0.07941733
68,0.0006062955,0.0006062955
69,-5.959242,5.959242
70,-0.2442575,0.2442575
71,1.292099,1.292099
72,1.292121,1.292121
73,0.005137262,0.005137262
74,0.01872721,0.01872721
75,-0.5730236,0.5730236
76,-0.002440445,0.002440445
77,0.06666724,0.06666724
78,0.3288154,0.3288154
79,0.008211455,0.008211455
80,0.05311104,0.05311104
81,0.4047948,0.4047948
82,-0.1986758,0.1986758
83,1.425206,1.425206
84,-0.004662775,0.004662775
85,-0.147939,0.147939
86,-0.0762895,0.0762895
87,0.01321315,0.01321315
88,-1.895194e-07,1.895194e-07
89,-0.001505773,0.001505773
90,-0.0308261,0.0308261
91,0.125972,0.125972
92,-0.08125542,0.08125542
93,0.01823069,0.01823069
94,-0.08658021,0.08658021
95,-0.01014748,0.01014748
96,-0.02178957,0.02178957
97,-0.8176705,0.8176705
98,0.7732371,0.7732371
99,0.2753013,0.2753013
100,0.2852988,0.2852988
101,0.7141485,0.7141485
102,-0.0301017,0.0301017
103,-1.155842,1.155842
104,-0.7321731,0.7321731
105,0.2299476,0.2299476
106,-6.738323,6.738323
107,0.03832282,0.03832282
108,-0.00109227,0.00109227
109,-0.09180824,0.09180824
110,0.2340661,0.2340661
111,-0.3889684,0.3889684
112,0.0042173,0.0042173
113,-0.1389062,0.1389062
114,-0.0247028,0.0247028
115,0.3107815,0.3107815
116,-0.02076264,0.02076264
117,1.085253,1.085253
118,0.6900089,0.6900089
119,-0.1389062,0.1389062
120,-0.1389061,0.1389061
121,0.02574848,0.02574848
122,0.009468772,0.009468772
123,0.004348117,0.004348117
124,0.003733304,0.003733304
125,-0.2200431,0.2200431
126,-1.032274,1.032274
127,0.02574814,0.02574814
128,0.0257482,0.0257482
129,-0.3185732,0.3185732
130,-0.004132462,0.004132462
131,0.001207293,0.001207293
132,-0.0001332142,0.0001332142
133,-0.001015851,0.001015851
134,2.004881,2.004881
135,-0.3185757,0.3185757
136,-0.3185882,0.3185882
137,-0.02549581,0.02549581
138,-0.0002567123,0.0002567123
139,0.1192973,0.1192973
140,-0.0001529584,0.0001529584
141,0.07920507,0.07920507
142,-0.0148584,0.0148584
143,-0.0004652,0.0004652
144,-0.0004190541,0.0004190541
145,-1.321141,1.321141
146,1.335615,1.335615
147,0.0006644242,0.0006644242
148,0.1355585,0.1355585
149,0.6021148,0.6021148
150,-20.11924,20.11924
151,2.315358,2.315358
152,3.309758,3.309758
153,-0.09998398,0.09998398
154,-0.1277495,0.1277495
155,0.4115871,0.4115871
156,-0.03836535,0.03836535
157,0.1814395,0.1814395
158,-1.133459,1.133459
159,-0.1866953,0.1866953
160,-0.2159565,0.2159565
161,-0.620719,0.620719
162,0.1505053,0.1505053
163,-9.459895,9.459895
164,3.724552,3.724552
165,0.7711539,0.7711539
166,-11.46945,11.46945
167,-0.6586933,0.6586933
168,-3.146036,3.146036
169,-29.52316,29.52316
170,0.1519974,0.1519974
171,6.226422,6.226422
172,9.884395,9.884395
173,21.42094,21.42094
174,-2.306914,2.306914
175,-4.312672,4.312672
176,-4.364837,4.364837
177,0.6365361,0.6365361
178,0.6646549,0.6646549
179,1.993149,1.993149
180,0.0162376,0.0162376
181,1.711966,1.711966
182,-1.057377,1.057377
183,0.6365353,0.6365353
184,0.6365352,0.6365352
185,-0.2018933,0.2018933
186,6.141844e-05,6.141844e-05
187,0.01707733,0.01707733
188,3.191044e-06,3.191044e-06
189,4.049662,4.049662
190,0.03235857,0.03235857
191,-0.201889,0.201889
192,-0.2018982,0.2018982
193,11.39355,11.39355
194,0.1007518,0.1007518
195,-4.800629,4.800629
196,0.02139414,0.02139414
197,-5.717697,5.717697
198,-5.10867,5.10867
199,11.39355,11.39355
200,11.39354,11.39354
201,0.00830726,0.00830726
202,-0.00139449,0.00139449
203,-1.401971,1.401971
204,-0.002005447,0.002005447
205,0.01131475,0.01131475
206,2.123234,2.123234
207,-0.002166501,0.002166501
208,0.008119035,0.008119035
209,-1.334746,1.334746
210,1.723253,1.723253
211,-0.2063807,0.2063807
212,0.04605391,0.04605391
213,0.003870257,0.003870257
214,0.03475009,0.03475009
215,0.5799345,0.5799345
216,0.5864511,0.5864511
217,-0.00904596,0.00904596
218,-0.07741369,0.07741369
219,0.02694637,0.02694637
220,-0.166925,0.166925
221,2.868602,2.868602
222,3.01105,3.01105
223,-0.116597,0.116597
224,-0.08297778,0.08297778
225,-1.028311,1.028311
226,0.8547838,0.8547838
227,0.1914633,0.1914633
228,0.04502128,0.04502128
229,2.061995,2.061995
230,-0.6555585,0.6555585
231,-2.456953,2.456953
232,-11.49037,11.49037
233,-24.44131,24.44131
234,1.945801,1.945801
235,4.855351,4.855351
236,2.956409,2.956409
237,11.54854,11.54854
238,4.536264,4.536264
239,-0.2176954,0.2176954
240,-1.726856,1.726856
241,0.3135818,0.3135818
242,0.6109571,0.6109571
243,-0.1996593,0.1996593
244,0.2189815,0.2189815
245,-2.61577,2.61577
246,1.877393,1.877393
247,0.3135828,0.3135828
248,0.3135822,0.3135822
249,-0.003674672,0.003674672
250,0.03165283,0.03165283
251,-0.3418881,0.3418881
252,0.01295247,0.01295247
253,-0.1973745,0.1973745
254,0.05365039,0.05365039
255,-0.003674626,0.003674626
256,-0.003674603,0.003674603
257,0.7091202,0.7091202
258,0.01546404,0.01546404
259,-0.4269047,0.4269047
260,0.002948686,0.002948686
261,0.6515751,0.6515751
262,-4.699004,4.699004
263,0.7091146,0.7091146
264,0.7091135,0.7091135
265,-1.625057,1.625057
266,-0.06535661,0.06535661
267,0.3084295,0.3084295
268,-0.3534122,0.3534122
269,-0.8635287,0.8635287
270,3.520235,3.520235
271,-0.5998792,0.5998792
272,-0.3201532,0.3201532
273,0.003244531,0.003244531
274,0.07459334,0.07459334
275,-0.1211565,0.1211565
276,0.2330041,0.2330041
277,-1.143578,1.143578
278,-0.5043975,0.5043975
279,-0.2947694,0.2947694
280,4.405542,4.405542
281,0.001145818,0.001145818
282,-0.000339442,0.000339442
283,-0.1057308,0.1057308
284,-0.008460081,0.008460081
285,-1.73803,1.73803
286,2.340655,2.340655
287,0.022208,0.022208
288,0.01299113,0.01299113
289,-3.136795,3.136795
290,0.8460711,0.8460711
291,-4.592182,4.592182
292,1.98723,1.98723
293,0.06840207,0.06840207
294,5.939709,5.939709
295,6.858724,6.858724
296,2.378164,2.378164
297,-22.5402,22.5402
298,11.72627,11.72627
299,3.163327,3.163327
300,16.27481,16.27481
301,0.004652798,0.004652798
302,11.44759,11.44759
303,5.944505,5.944505
304,0.9111696,0.9111696
305,-2.154278,2.154278
306,-0.2433654,0.2433654
307,1.111066,1.111066
308,-0.05276402,0.05276402
309,-2.733789,2.733789
310,1.758909,1.758909
311,-2.154271,2.154271
312,-2.154275,2.154275
313,-7.045964,7.045964
314,-6.662116,6.662116
315,3.985171,3.985171
316,-0.02099002,0.02099002
317,0.50921,0.50921
318,2.2964,2.2964
319,-7.046033,7.046033
320,-7.046007,7.046007
321,3.288236,3.288236
322,0.01156744,0.01156744
323,-2.433958,2.433958
324,0.002404219,0.002404219
325,-1.475508,1.475508
326,-13.3544,13.3544
327,3.288238,3.288238
328,3.288228,3.288228
329,-0.002654809,0.002654809
330,-0.3257892,0.3257892
331,4.057777,4.057777
332,-0.1317808,0.1317808
333,1.851807e-06,1.851807e-06
334,-0.2112014,0.2112014
335,0.004567534,0.004567534
336,-0.7828529,0.7828529
337,0.001023532,0.001023532
338,-0.1291222,0.1291222
339,0.427703,0.427703
340,-0.1121813,0.1121813
341,0.2718056,0.2718056
342,0.004247392,0.004247392
343,0.007400691,0.007400691
344,-1.927319,1.927319
345,0.002660029,0.002660029
346,0.0009800845,0.0009800845
347,-1.144816,1.144816
348,-0.02474147,0.02474147
349,1.536009,1.536009
350,-0.1731002,0.1731002
351,0.09184188,0.09184188
352,0.1361966,0.1361966
353,-6.48165,6.48165
354,-0.130319,0.130319
355,10.53695,10.53695
356,1.646576,1.646576
357,0.06833968,0.06833968
358,-2.467793,2.467793
359,0.1230751,0.1230751
360,2.976906,2.976906
361,-9.903994,9.903994
362,-0.7254497,0.7254497
363,4.933194,4.933194
364,5.932556,5.932556
365,4.125458,4.125458
366,-10.64729,10.64729
367,1.101348,1.101348
368,2.920428,2.920428
369,9.491072,9.491072
370,0.1563336,0.1563336
371,-5.318398,5.318398
372,0.7156252,0.7156252
373,-2.543144,2.543144
374,-16.23435,16.23435
375,9.491061,9.491061
376,9.49107,9.49107
377,5.234288,5.234288
378,0.1155899,0.1155899
379,-5.470237,5.470237
380,0.06449823,0.06449823
381,-0.9453136,0.9453136
382,-14.65706,14.65706
383,5.234286,5.234286
384,5.234295,5.234295
385,1.559459e-05,1.559459e-05
386,-5.936741e-05,5.936741e-05
387,0.03183286,0.03183286
388,3.633516e-11,3.633516e-11
389,0.2652106,0.2652106
390,-0.01081788,0.01081788
391,1.559272e-05,1.559272e-05
392,1.559384e-05,1.559384e-05
393,-0.06934878,0.06934878
394,-0.02505012,0.02505012
395,-0.06851808,0.06851808
396,-0.01564315,0.01564315
397,3.197671,3.197671
398,-1.354575,1.354575
399,-0.001937338,0.001937338
400,0.0128855,0.0128855
401,-2.14297,2.14297
402,0.003975722,0.003975722
403,0.0001004776,0.0001004776
404,-0.02362272,0.02362272
405,0.4653769,0.4653769
406,0.02242461,0.02242461
407,-0.01622284,0.01622284
408,0.2633004,0.2633004
409,-0.007666539,0.007666539
410,-0.0002946644,0.0002946644
411,-0.105479,0.105479
412,-0.0190586,0.0190586
413,0.666187,0.666187
414,0.04589623,0.04589623
415,-0.01599422,0.01599422
416,-0.01844554,0.01844554
417,0.08879058,0.08879058
418,-0.01396756,0.01396756
419,0.2217588,0.2217588
420,-0.1508328,0.1508328
421,-0.2282838,0.2282838
422,1.220893,1.220893
423,-0.08161917,0.08161917
424,-3.000904,3.000904
425,-4.452439,4.452439
