Observacion,Etiqueta,Y_real,Y_pred_continua,Y_pred_clase
1,positive,1,1.18388993860289,1
2,positive,1,0.978289447591646,1
3,positive,1,1.14616095462392,1
4,positive,1,0.86290798794958,1
5,positive,1,1.06686697074553,1
6,positive,1,1.13603016667203,1
7,positive,1,0.908626761106794,1
8,positive,1,0.891343300524434,1
9,positive,1,0.934389978288291,1
10,positive,1,0.941797181377627,1
11,positive,1,0.872492123837899,1
12,positive,1,0.81177008050391,1
13,positive,1,0.944025868763531,1
14,positive,1,1.20981491694401,1
15,positive,1,1.00126507533475,1
16,positive,1,0.866429523536899,1
17,positive,1,0.926699106219937,1
18,positive,1,1.04075242007397,1
19,positive,1,0.820512549384006,1
20,positive,1,0.987969128921579,1
21,negative,-1,-1.13612016661001,-1
22,negative,-1,-1.11808071480871,-1
23,negative,-1,-0.89397320179104,-1
24,negative,-1,-1.07570090328689,-1
25,negative,-1,-1.07975109510645,-1
26,negative,-1,-1.20054052406145,-1
27,negative,-1,-0.59727210860103,-1
28,negative,-1,-0.801470202927136,-1
29,negative,-1,-1.00319676319015,-1
30,negative,-1,-0.884262675652012,-1
31,negative,-1,-0.756569819941629,-1
32,negative,-1,-0.930528374912569,-1
33,negative,-1,-1.12940782322596,-1
34,negative,-1,-1.1912940993847,-1
35,negative,-1,-0.838348666666062,-1
36,negative,-1,-0.913963738884025,-1
37,negative,-1,-1.31149500307083,-1
38,negative,-1,-1.07260480268496,-1
39,negative,-1,-0.730701524824685,-1
40,negative,-1,-0.86677799675076,-1
