sentence_id,sentence,true_label,predicted_label,prob_negative,prob_positive,explained_class,token_position,token_or_segment,token_clean,shap_value,abs_shap_value
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,0,,,-7.543712854385376e-08,7.543712854385376e-08
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,1,The ,the,-0.08310761582106352,0.08310761582106352
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,2,movie ,movie,-0.08197193779051304,0.08197193779051304
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,3,was ,was,0.1266051959246397,0.1266051959246397
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,4,very ,very,0.29796345718204975,0.29796345718204975
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,5,good,good,0.45382443256676197,0.45382443256676197
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,6,.,.,0.00017729774117469788,0.00017729774117469788
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,0,,,-9.313225746154785e-09,9.313225746154785e-09
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,1,This ,this,0.07393195852637291,0.07393195852637291
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,2,film ,film,-0.1702789394184947,0.1702789394184947
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,3,was ,was,0.08532464597374201,0.08532464597374201
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,4,really ,really,0.2903019320219755,0.2903019320219755
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,5,nice,nice,0.47432258538901806,0.47432258538901806
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,6,.,.,-0.04003852233290672,0.04003852233290672
2,This film was really nice.,positive,positive,0.00039497716,0.999605,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,0,,,3.725290298461914e-09,3.725290298461914e-09
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,1,I ,i,0.05753893777728081,0.05753893777728081
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,2,found ,found,0.13268433511257172,0.13268433511257172
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,3,the ,the,0.03863205015659332,0.03863205015659332
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,4,story ,story,0.19247218128293753,0.19247218128293753
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,5,charming,charming,0.33446027245372534,0.33446027245372534
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,6,.,.,-0.04213096760213375,0.04213096760213375
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,0,,,7.450580596923828e-09,7.450580596923828e-09
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,1,The ,the,0.004393525421619415,0.004393525421619415
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,2,acting ,acting,0.0030360985547304153,0.0030360985547304153
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,3,felt ,felt,0.0725188385695219,0.0725188385695219
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,4,quite ,quite,0.23658507782965899,0.23658507782965899
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,5,natural,natural,0.44698378164321184,0.44698378164321184
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,6,.,.,-0.05088917352259159,0.05088917352259159
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,0,,,1.862645149230957e-09,1.862645149230957e-09
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,1,This ,this,0.05073152296245098,0.05073152296245098
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,2,movie ,movie,-0.023226678371429443,0.023226678371429443
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,3,looked ,looked,0.08798685669898987,0.08798685669898987
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,4,very ,very,0.20617868285626173,0.20617868285626173
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,5,beautiful,beautiful,0.4428195832297206,0.4428195832297206
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,6,.,.,-0.05084400437772274,0.05084400437772274
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,0,,,-4.866160452365875e-08,4.866160452365875e-08
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,1,The ,the,-0.04474272835068405,0.04474272835068405
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,2,ending ,ending,-0.1200767639093101,0.1200767639093101
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,3,was ,was,0.049951907712966204,0.049951907712966204
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,4,truly ,truly,0.3563813413493335,0.3563813413493335
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,5,satisfying,satisfying,0.478871017228812,0.478871017228812
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,6,.,.,-0.006885030306875706,0.006885030306875706
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,0,,,-1.1175870895385742e-08,1.1175870895385742e-08
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,1,I ,i,0.03421442583203316,0.03421442583203316
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,2,enjoyed ,enjoyed,0.21748030185699463,0.21748030185699463
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,3,this ,this,0.12755227833986282,0.12755227833986282
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,4,film ,film,0.22201061621308327,0.22201061621308327
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,5,today,today,0.14763963595032692,0.14763963595032692
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,6,.,.,-0.03546985238790512,0.03546985238790512
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,0,,,-6.030313670635223e-08,6.030313670635223e-08
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,1,The ,the,-0.024019269505515695,0.024019269505515695
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,2,plot ,plot,-0.18292578670661896,0.18292578670661896
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,3,felt ,felt,0.09152750566136092,0.09152750566136092
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,4,warm ,warm,0.7332088763359934,0.7332088763359934
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,5,throughout,throughout,0.12579497159458697,0.12579497159458697
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,6,.,.,-0.030161345843225718,0.030161345843225718
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,positive,7,,,2.9802322387695312e-08,2.9802322387695312e-08
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,0,,,-2.60770320892334e-08,2.60770320892334e-08
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,1,This ,this,0.05441086366772652,0.05441086366772652
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,positive,2,was ,was,0.05053742602467537,0.05053742602467537
