token_clean,mean_abs_shap,mean_shap,max_abs_shap,count
disliked,0.77485535829328,0.77485535829328,0.77485535829328,1
hated,0.7102009881637059,0.7102009881637059,0.7637224829522893,2
sharp,0.710127534577623,0.710127534577623,0.710127534577623,1
poorly,0.6835041157901287,0.6835041157901287,0.6835041157901287,1
dreadful,0.6808250781614333,0.6808250781614333,0.6808250781614333,1
painful,0.669934205012396,0.669934205012396,0.669934205012396,1
boring,0.6634397057350725,0.6634397057350725,0.6634397057350725,1
empty,0.6369000788545236,0.6369000788545236,0.6369000788545236,1
smart,0.6246446690056473,0.6246446690056473,0.6246446690056473,1
poor,0.6119133057072759,0.6119133057072759,0.6119133057072759,1
dull,0.6076933555305004,0.6076933555305004,0.6076933555305004,1
warm,0.5616567466640845,0.5616567466640845,0.7332088763359934,2
cheap,0.5553260706365108,0.5553260706365108,0.5553260706365108,1
bad,0.5430733170360327,0.5430733170360327,0.5430733170360327,1
wooden,0.5406619515269995,0.5406619515269995,0.5406619515269995,1
unpleasant,0.5330282722134143,0.5330282722134143,0.5330282722134143,1
awful,0.5235496171371778,0.5235496171371778,0.5235496171371778,1
annoying,0.5194041942304466,0.5194041942304466,0.5194041942304466,1
fresh,0.5135635873302817,0.5135635873302817,0.5135635873302817,1
stale,0.47932184860110283,0.47932184860110283,0.47932184860110283,1
satisfying,0.478871017228812,0.478871017228812,0.478871017228812,1
nice,0.47432258538901806,0.47432258538901806,0.47432258538901806,1
pleasant,0.4616647697985172,0.4616647697985172,0.4616647697985172,1
good,0.45382443256676197,0.45382443256676197,0.45382443256676197,1
natural,0.44698378164321184,0.44698378164321184,0.44698378164321184,1
beautiful,0.4428195832297206,0.4428195832297206,0.4428195832297206,1
strong,0.3845769939944148,0.3845769939944148,0.3845769939944148,1
dumb,0.3722887234762311,0.3722887234762311,0.3722887234762311,1
deeply,0.35913539835019037,0.08220226812409237,0.44133766647428274,2
worked,0.35654017329216003,0.0005582242738455534,0.3570983975660056,2
truly,0.3562074780493276,0.00017386330000590533,0.3563813413493335,2
charming,0.33446027245372534,0.33446027245372534,0.33446027245372534,1
liked,0.33298512920737267,0.33298512920737267,0.33298512920737267,1
enjoyable,0.3270545406267047,0.3270545406267047,0.3270545406267047,1
lovely,0.3172615831717849,0.3172615831717849,0.3172615831717849,1
well,0.3004483161494136,0.3004483161494136,0.3004483161494136,1
really,0.29005417919688625,0.00024775282508926466,0.2903019320219755,2
weak,0.26030633226037025,0.26030633226037025,0.26030633226037025,1
overall,0.24197658116463572,0.0007731864461675286,0.24274976761080325,2
very,0.23456292564515024,0.0018901051720604301,0.3144780583679676,10
loved,0.22949976474046707,0.22949976474046707,0.22949976474046707,1
gave,0.2206705849384889,8.202122990041971e-05,0.22075260616838932,2
flat,0.21997376158833504,0.21997376158833504,0.21997376158833504,1
enjoyed,0.21748030185699463,0.21748030185699463,0.21748030185699463,1
final,0.20245987735688686,0.0025113094598054886,0.20497118681669235,2
quite,0.20052806456806138,0.0014101808774285018,0.23658507782965899,4
script,0.1981270049000159,0.0002321753418073058,0.1983591802418232,2
moving,0.1962145259603858,0.1962145259603858,0.1962145259603858,1
dialogue,0.18738333752844483,0.001311659230850637,0.18869499675929546,2
plot,0.18506542121758685,0.0021396345109678805,0.18720505572855473,2
film,0.17421892995480448,0.0008850107357526819,0.22201061621308327,6
today,0.1741444155923091,0.0006485796184279025,0.20194635447114706,4
a,0.1527672102674842,8.140690624713898e-06,0.1527753509581089,2
cast,0.14422374579589814,4.119251389056444e-05,0.1442649383097887,2
throughout,0.1251264460152015,0.01697057334240526,0.15839906712062657,4
found,0.12014973419718444,-0.00012067961506545544,0.1327756429091096,4
ending,0.12014386407099664,6.710016168653965e-05,0.12021096423268318,2
story,0.10670625435886905,0.00022685836302116513,0.19247218128293753,4
felt,0.10237007505493238,-0.0005461991648189723,0.14079666510224342,10
movie,0.09899460508022458,0.0009472597157582641,0.17415695544332266,10
looked,0.08800131361931562,-1.4456920325756073e-05,0.08801577053964138,2
this,0.08559671796891573,0.00026105097328711836,0.13732291758060455,14
i,0.07858969389926643,0.0002794790314510465,0.12633209489285946,10
completely,0.0783266257494688,0.0008255895227193832,0.07915221527218819,2
was,0.07207699800242803,-3.8242083974182606e-05,0.1266801655292511,14
it,0.06527379062026739,0.0002549001947045326,0.06552869081497192,2
scene,0.05910034757107496,0.0027631493285298347,0.0618634968996048,2
pacing,0.056875184178352356,0.0001498900819569826,0.05702507426030934,2
soundtrack,0.04070723615586758,0.00025191716849803925,0.040959153324365616,2
the,0.03427973934352243,2.3516045378831525e-05,0.08310761582106352,24
.,0.03249894134933129,-0.00020626262994483113,0.05105789005756378,40
performances,0.02088939701206982,0.00038544065319001675,0.021274837665259838,2
acting,0.0028702765703201294,0.0028702765703201294,0.0030360985547304153,2
